演员,id,参演电影总票房(亿),参演电影
王成思,1383525,65.4961,唐人街探案2 西虹市首富 李茶的姑妈
徐峥,1274297,57.8346,我不是药神 一出好戏 超时空同居 幕后玩家 江湖儿女
斯坦·李,1013888,55.1849,复仇者联盟3：无限战争 毒液：致命守护者 蚁人2：黄蜂女现身 蜘蛛侠：平行宇宙
王宝强,1274388,49.5707,唐人街探案2 一出好戏 祖宗十九代 冰封侠：时空行者
王迅,1317139,47.5274,唐人街探案2 一出好戏
约翰·盖蒂尔,1392772,47.0476,海王 毒液：致命守护者 蚁人2：黄蜂女现身
宁浩,1274265,45.1809,我不是药神 一出好戏 英雄本色2018
杜江,1322949,43.6555,红海行动 来电狂响 你好，之华
佟丽娅,1275756,42.9757,唐人街探案2 超时空同居
王砚辉,1322085,42.5309,我不是药神 无名之辈 幕后玩家
克里斯·帕拉特,1017967,40.8641,复仇者联盟3：无限战争 侏罗纪世界2
章宇,1322072,38.9448,我不是药神 无名之辈
艾伦,1350408,37.8649,西虹市首富 来电狂响 李茶的姑妈
井柏然,1274628,37.6844,捉妖记2 后来的我们 祖宗十九代
肖央,1274979,37.2509,唐人街探案2 猛虫过江 天气预爆
张译,1274761,37.2073,红海行动 江湖儿女
王强,1313047,36.6871,红海行动 中国蓝盔
尹昉,1340310,36.5332,红海行动 路过未来
黄景瑜,1354442,36.5078,红海行动
海清,1272245,36.5078,红海行动
蒋璐霞,1313597,36.5078,红海行动
郭家豪,1326477,36.5078,红海行动
王雨甜,1377802,36.5078,红海行动
麦亨利,1377803,36.5078,红海行动
张涵予,1274319,36.5078,红海行动
王彦霖,1350317,36.5078,红海行动
元华,1050240,35.6524,唐人街探案2 叶问外传：张天志 低压槽：欲望之城 泡菜爱上小龙虾
九孔,1274213,35.4573,西虹市首富 无名之辈 猛虫过江
刘昊然,1336305,34.9882,唐人街探案2 幸福马上来
范湉湉,1351495,34.6203,唐人街探案2 闺蜜2
曾江,1275451,34.3678,唐人街探案2 我是你妈 恐怖快递
杨金赐,1357013,33.9777,唐人街探案2 同名男子
