电影名,类型,上映日期,时长（分）,导演,主要演员,全部演员,票房,豆瓣链接,豆瓣评分,豆瓣评分人数,豆瓣短评数,豆瓣长评数,猫眼评分,时光网评分,imdb评分
红海行动,动作 战争,2018-02-16(中国大陆),138,林超贤,张译 黄景瑜 海清,张译 黄景瑜 海清 杜江 蒋璐霞 尹昉 王强 郭家豪 王雨甜 麦亨利 张涵予 王彦霖,365078,https://movie.douban.com/subject/26861685/,8.3,620815,195571,5761,9.4,8.1,6.8
唐人街探案2,喜剧 动作 犯罪,2018-02-16(中国大陆),121,陈思诚,王宝强 刘昊然 肖央,王宝强 刘昊然 肖央 刘承羽 尚语贤 王迅 妻夫木聪 迈克尔·皮特 白灵 元华 曾江 王成思 杨金赐 范湉湉 佟丽娅 陈思诚,339769,https://movie.douban.com/subject/26698897/,6.7,547648,172832,3902,9,6.9,6.1
我不是药神,剧情 喜剧,2018-07-05(中国大陆),117,文牧野,徐峥 王传君 周一围,徐峥 王传君 周一围 谭卓 章宇 杨新鸣 王佳佳 王砚辉 贾晨飞 龚蓓苾 宁浩 李乃文 岳小军 苇青 富冠铭 巴拉特·巴蒂 喜利图 张海艳 朱耕佑,309997,https://movie.douban.com/subject/26752088/,9.0,1027999,338328,15889,9.6,8.8,8.1
西虹市首富,喜剧,2018-07-27(中国大陆),118,闫非 彭大魔,沈腾 宋芸桦 张一鸣,沈腾 宋芸桦 张一鸣 张晨光 常远 魏翔 赵自强 九孔 李立群 王成思 徐冬冬 艾伦 杨皓宇 黄才伦 王力宏 包贝尔 郎咸平 张绍刚 杨文哲 陶亮 王赞 黄杨 刘鉴 杨沅翰 林炳宝 骆佳 陈昊明 臧一人,254757,https://movie.douban.com/subject/27605698/,6.5,586589,183754,3375,9.2,6.7,6.2
捉妖记2,喜剧 奇幻,2018-02-16(中国大陆),110,许诚毅,梁朝伟 白百何 井柏然,梁朝伟 白百何 井柏然 李宇春 杨祐宁 大鹏 吴君如 曾志伟 黄磊 柳岩 吴莫愁 伍嘉成 赵磊 谷嘉诚 彭楚粤 陈泽希 郭子凡 肖战 焉栩嘉 夏之光 姜超 娄艺潇 张俪,223708,https://movie.douban.com/subject/26575103/,5.0,207324,71801,1230,8.1,6.0,5.3
后来的我们,剧情 爱情,2018-04-28(中国大陆),120,刘若英,井柏然 周冬雨 田壮壮,井柏然 周冬雨 田壮壮 曲哲明 刘启恒 苏小明 邹倚天 张子贤 施予斐 李剑青,136152,https://movie.douban.com/subject/26683723/,5.9,245245,97807,5240,8.3,6.3,7.2
一出好戏,剧情 喜剧,2018-08-10(中国大陆),134,黄渤,黄渤 舒淇 王宝强,黄渤 舒淇 王宝强 张艺兴 于和伟 王迅 李勤勤 李又麟 宁浩 管虎 梁静 徐峥 陈德森 张磊,135505,https://movie.douban.com/subject/26985127/,7.1,567363,179166,5742,8.2,7.6,6.3
无双,剧情 动作 犯罪,2018-09-30(中国大陆),130,庄文强,周润发 郭富城 张静初,周润发 郭富城 张静初 冯文娟 廖启智 周家怡 王耀庆 方中信 高捷 邢佳栋 张松枝 张建声 吴嘉龙 孙佳君,127376,https://movie.douban.com/subject/26425063/,8.0,518569,163786,2707,8.9,7.8,7.1
超时空同居,喜剧 爱情 奇幻,2018-05-18(中国大陆),101,苏伦,雷佳音 佟丽娅 张衣,雷佳音 佟丽娅 张衣 于和伟 王正佳 陶虹 李念 李光洁 杨玏 范明 徐峥 杨迪 方龄 陈昊,89988,https://movie.douban.com/subject/27133303/,6.9,332360,104386,1871,8.7,6.8,6.5
无名之辈,剧情 喜剧,2018-11-16(中国大陆),108,饶晓志,陈建斌 任素汐 潘斌龙,陈建斌 任素汐 潘斌龙 章宇 王砚辉 九孔 马吟吟 程怡 宁桓宇 邓恩熙 谢波 范翔 赵梓冲 史策 马睿瀚 林海 邓钢,79451,https://movie.douban.com/subject/27110296/,8.1,557102,179488,5854,9,7.7,7.2
无问西东,剧情 爱情 战争,2018-01-12(中国大陆),138,李芳芳,章子怡 黄晓明 张震,章子怡 黄晓明 张震 王力宏 陈楚生 铁政 祖锋 米雪 王盛德 韩童生 王鑫 郑铮 章泽天 黄梦莹 林美秀 保罗·菲利普·克拉克 胡家华 伊娜 吴谨言 纪帅 王天泽 伍麟凯 都金翰,75430,https://movie.douban.com/subject/6874741/,7.5,453517,151093,9085,8.6,7.0,6.5
西游记女儿国,喜剧 爱情 奇幻,2018-02-16(中国大陆),116,郑保瑞,郭富城 冯绍峰 赵丽颖,郭富城 冯绍峰 赵丽颖 小沈阳 罗仲谦 林志玲 梁咏琪 刘涛 孙伊涵 苑琼丹 潘斌龙 陈雅丽 施诗,72738,https://movie.douban.com/subject/25829175/,4.4,105751,43196,3078,7.9,5.4,5.5
