source,target,weight
1009610,1009726,117
1009610,1009368,354
1009610,1009220,379
1009610,1009718,368
1009610,1009664,6
1009610,1009165,264
1009610,1009351,206
1009610,1009299,157
1009610,1009356,145
1009610,1009262,169
1009610,1009662,161
1009610,1009257,63
1009610,1009268,87
1009610,1009282,115
1009610,1009629,52
1009610,1009366,103
1009610,1009175,57
1009610,1009243,51
1009610,1009515,71
1009610,1009187,45
1009610,1010791,41
1009610,1009459,124
1009610,1009546,30
1009610,1009472,43
1009610,1009592,36
1009610,1009338,110
1009610,1009362,29
1009610,1009159,19
1009610,1009697,55
1009610,1009313,12
1009610,1009214,12
1009610,1009562,43
1009610,1009471,22
1009610,1009189,45
1009610,1010338,66
1009610,1009583,63
1009610,1009724,10
1009610,1009512,6
1009610,1009707,54
1009610,1009281,52
1009610,1009417,33
1009610,1009708,361
1009610,1011336,5
1009610,1009407,24
1009610,1009504,23
1009610,1009310,20
1009610,1009367,56
1009610,1010360,9
1009610,1009318,25
1009610,1009215,111
1009610,1009524,27
1009610,1010370,3
1009610,1009337,6
1009610,1011010,1
1009610,1009182,5
1009610,1011490,24
1009610,1009508,5
1009610,1009466,23
1009610,1011299,7
1009610,1009219,8
1009610,1009719,32
1009610,1009554,6
1009610,1009372,257
1009610,1009499,3
1009610,1009343,21
1009610,1009277,13
1009610,1009452,52
1009610,1009389,102
1009610,1009609,26
1009610,1009224,26
1009610,1010771,1
1009610,1009652,25
1009610,1009288,17
1009610,1009365,10
1009610,1009480,10
1009610,1009267,6
1009610,1010738,3
1009610,1009705,5
1009610,1011023,2
1009610,1009379,9
1009610,1009477,25
1009610,1009608,126
1009610,1009312,18
1009610,1009327,6
1009610,1016181,46
1009610,1009382,22
1009610,1010373,4
1009610,1009297,16
1009610,1009638,5
1009610,1009325,98
1009610,1009577,21
1009610,1009722,4
1009610,1010354,11
1009726,1009368,59
1009726,1009220,73
1009726,1009718,1001
1009726,1009664,2
1009726,1009165,108
1009726,1009351,51
1009726,1009299,73
1009726,1009356,29
1009726,1009262,20
1009726,1009662,24
1009726,1009257,742
1009726,1009268,43
1009726,1009282,20
1009726,1009629,736
1009726,1009366,31
1009726,1009175,560
1009726,1009243,618
1009726,1009515,7
1009726,1009187,30
1009726,1010791,33
1009726,1009459,23
1009726,1009546,522
1009726,1009472,510
1009726,1009592,17
1009726,1009338,21
1009726,1009362,463
1009726,1009159,369
1009726,1009697,27
1009726,1009313,399
1009726,1009214,67
1009726,1009562,42
1009726,1009471,40
1009726,1009189,21
1009726,1010338,6
1009726,1009583,16
1009726,1009724,204
1009726,1009512,368
1009726,1009707,16
1009726,1009281,26
1009726,1009417,298
1009726,1009708,3
1009726,1011336,14
1009726,1009407,11
1009726,1009504,306
1009726,1009310,262
1009726,1009367,4
1009726,1010360,2
1009726,1009318,11
1009726,1009215,4
1009726,1009524,78
1009726,1010370,15
1009726,1009337,228
1009726,1009182,245
1009726,1011490,10
1009726,1009508,174
1009726,1009466,43
1009726,1011299,10
1009726,1009219,161
1009726,1009719,5
1009726,1009554,111
1009726,1009372,1
1009726,1009499,211
1009726,1009343,11
1009726,1009277,98
1009726,1009452,2
1009726,1009389,3
1009726,1009609,1
