Source,Target,Type,Id,Label,timeset,Weight,,,,,
1009726,1009718,Undirected,17317,,,1001,,1009726,X-Men,1009718,Wolverine
1009299,1009356,Undirected,17866,,,817,,1009299,Fantastic Four,1009356,Human Torch
1009299,1009366,Undirected,17873,,,773,,1009299,Fantastic Four,1009366,Invisible Woman
1009356,1009366,Undirected,17948,,,772,,,,,
1009368,1009220,Undirected,17407,,,766,,,,,
1009368,1009718,Undirected,17408,,,758,,,,,
1009726,1009257,Undirected,17325,,,742,,,,,
1009356,1009662,Undirected,17943,,,741,,,,,
1009726,1009629,Undirected,17328,,,736,,,,,
1009299,1009662,Undirected,17868,,,698,,,,,
1009220,1009165,Undirected,17499,,,669,,,,,
1009662,1009366,Undirected,18087,,,665,,,,,
1009726,1009243,Undirected,17331,,,618,,,,,
1009368,1009165,Undirected,17410,,,583,,,,,
1009726,1009175,Undirected,17330,,,560,,,,,
1009356,1009459,Undirected,17954,,,547,,,,,
1009366,1009459,Undirected,18441,,,537,,,,,
1009726,1009546,Undirected,17336,,,522,,,,,
1009718,1009629,Undirected,17593,,,514,,,,,
1009726,1009472,Undirected,17337,,,510,,,,,
1009299,1009459,Undirected,17879,,,507,,,,,
1009662,1009459,Undirected,18093,,,507,,,,,
1009718,1009257,Undirected,17590,,,504,,,,,
1009718,1009243,Undirected,17596,,,488,,,,,
1009726,1009362,Undirected,17340,,,463,,,,,
1009629,1009243,Undirected,18369,,,453,,,,,
1009726,1009313,Undirected,17343,,,399,,,,,
1009718,1009472,Undirected,17602,,,394,,,,,
1009243,1009472,Undirected,18578,,,392,,,,,
1009610,1009220,Undirected,17224,,,379,,,,,
1009257,1009175,Undirected,18161,,,376,,,,,
1009726,1009159,Undirected,17341,,,369,,,,,
1009610,1009718,Undirected,17225,,,368,,,,,
1009726,1009512,Undirected,17351,,,368,,,,,
1009610,1009708,Undirected,17263,,,361,,,,,
1009610,1009368,Undirected,17223,,,354,,,,,
1009718,1009546,Undirected,17601,,,354,,,,,
1009165,1009697,Undirected,17719,,,352,,,,,
1009629,1009472,Undirected,18375,,,348,,,,,
1009257,1009629,Undirected,18159,,,334,,,,,
1009165,1009562,Undirected,17722,,,328,,,,,
1009718,1009175,Undirected,17595,,,325,,,,,
1009175,1009362,Undirected,18511,,,324,,,,,
1009546,1009313,Undirected,18875,,,322,,,,,
1009220,1009718,Undirected,17497,,,311,,,,,
1009257,1009243,Undirected,18162,,,309,,,,,
1009726,1009504,Undirected,17358,,,306,,,,,
1009726,1009417,Undirected,17354,,,298,,,,,
1009220,1009562,Undirected,17525,,,295,,,,,
1009220,1009338,Undirected,17519,,,294,,,,,
1009368,1009351,Undirected,17411,,,284,,,,,
1009697,1009562,Undirected,19197,,,284,,,,,
1009362,1009159,Undirected,19088,,,279,,,,,
1009220,1009697,Undirected,17522,,,278,,,,,
1009629,1009546,Undirected,18374,,,273,,,,,
1009165,1009707,Undirected,17729,,,270,,,,,
1009610,1009165,Undirected,17227,,,264,,,,,
1009368,1009562,Undirected,17436,,,263,,,,,
1009726,1009310,Undirected,17359,,,262,,,,,
1009165,1009338,Undirected,17716,,,261,,,,,
1009368,1009697,Undirected,17433,,,258,,,,,
1009610,1009372,Undirected,17284,,,257,,,,,
1009175,1009159,Undirected,18512,,,256,,,,,
1009243,1009546,Undirected,18577,,,253,,,,,
1009220,1009351,Undirected,17500,,,247,,,,,
1009726,1009182,Undirected,17367,,,245,,,,,
1009718,1009512,Undirected,17616,,,244,,,,,
1009257,1009362,Undirected,18171,,,241,,,,,
1009257,1009310,Undirected,18189,,,241,,,,,
1009368,1009707,Undirected,17443,,,240,,,,,
1009220,1009707,Undirected,17532,,,239,,,,,
1009368,1009338,Undirected,17430,,,238,,,,,
1009718,1009313,Undirected,17608,,,238,,,,,
1009726,1009337,Undirected,17366,,,228,,,,,
1009718,1009362,Undirected,17605,,,222,,,,,
1009257,1009472,Undirected,18168,,,214,,,,,
1009726,1009499,Undirected,17376,,,211,,,,,
1009165,1009351,Undirected,17697,,,210,,,,,
1009629,1009175,Undirected,18368,,,207,,,,,
1009610,1009351,Undirected,17228,,,206,,,,,
1009726,1009724,Undirected,17350,,,204,,,,,
1009718,1009159,Undirected,17606,,,201,,,,,
1009629,1009313,Undirected,18381,,,201,,,,,
1009257,1009159,Undirected,18172,,,200,,,,,
1009718,1009351,Undirected,17585,,,187,,,,,
1009220,1009471,Undirected,17526,,,186,,,,,
1009257,1009546,Undirected,18167,,,186,,,,,
1009257,1009504,Undirected,18188,,,185,,,,,
1009718,1009310,Undirected,17624,,,183,,,,,
