Id,Label,timeset,lable,weight,modularity_class
1009610,Spider-Man,,Spider-Man,5192,1
1009726,X-Men,,X-Men,4551,0
1009368,Iron Man,,Iron Man,3483,1
1009220,Captain America,,Captain America,3206,1
1009718,Wolverine,,Wolverine,3105,0
1009664,Thor,,Thor,2460,1
1009165,Avengers,,Avengers,2427,1
1009351,Hulk,,Hulk,2318,1
1009299,Fantastic Four,,Fantastic Four,2119,2
1009356,Human Torch,,Human Torch,1631,2
1009262,Daredevil,,Daredevil,1782,1
1009662,Thing,,Thing,1103,2
1009257,Cyclops,,Cyclops,1035,0
1009268,Deadpool,,Deadpool,922,0
1009282,Doctor Strange,,Doctor Strange,976,1
1009629,Storm,,Storm,944,0
1009366,Invisible Woman,,Invisible Woman,901,2
1009175,Beast,,Beast,877,0
1009243,Colossus,,Colossus,824,0
1009515,Punisher,,Punisher,799,1
1009187,Black Panther,,Black Panther,777,1
1010791,Sub-Mariner,,Sub-Mariner,704,1
1009459,Mr. Fantastic,,Mr. Fantastic,747,2
1009546,Rogue,,Rogue,725,0
1009472,Nightcrawler,,Nightcrawler,709,0
1009592,Silver Surfer,,Silver Surfer,691,2
1009338,Hawkeye,,Hawkeye,639,1
1009362,Iceman,,Iceman,614,0
1009159,Archangel,,Archangel,600,0
1009697,Vision,,Vision,598,1
1009313,Gambit,,Gambit,562,0
1009214,Cable,,Cable,566,0
1009562,Scarlet Witch,,Scarlet Witch,559,1
1009471,Nick Fury,,Nick Fury,553,1
1009189,Black Widow,,Black Widow,546,1
1010338,Captain Marvel (Carol Danvers),,Captain Marvel (Carol Danvers),543,1
1009583,She-Hulk (Jennifer Walters),,She-Hulk (Jennifer Walters),493,1
1009724,X-Force,,X-Force,481,0
1009512,Psylocke,,Psylocke,466,0
1010852,Two-Gun Kid,,Two-Gun Kid,459,3
1009707,Wasp,,Wasp,448,1
1009281,Doctor Doom,,Doctor Doom,436,2
1009417,Magneto,,Magneto,435,0
1009708,Mary Jane Watson,,Mary Jane Watson,411,1
1011336,New Mutants,,New Mutants,404,0
1009407,Loki,,Loki,411,1
1009504,Professor X,,Professor X,407,0
1009310,Emma Frost,,Emma Frost,410,0
1009367,Iron Fist (Danny Rand),,Iron Fist (Danny Rand),369,1
1010360,Thunderbolts,,Thunderbolts,378,1
1009318,Ghost Rider (Johnny Blaze),,Ghost Rider (Johnny Blaze),381,1
1009215,Luke Cage,,Luke Cage,363,1
1009524,Quicksilver,,Quicksilver,366,1
1010892,Rawhide Kid,,Rawhide Kid,375,3
1010370,Alpha Flight,,Alpha Flight,367,1
1009337,Havok,,Havok,347,0
1011010,Spider-Man (Ultimate),,Spider-Man (Ultimate),331,1
1009182,Bishop,,Bishop,334,0
1011490,Hank Pym,,Hank Pym,321,1
1009508,Kitty Pryde,,Kitty Pryde,318,0
1009466,Namor,,Namor,319,2
1011299,Guardians of the Galaxy,,Guardians of the Galaxy,310,1
1009219,Cannonball,,Cannonball,308,0
1009719,Wonder Man,,Wonder Man,301,1
1011109,X-Men (Ultimate),,X-Men (Ultimate),287,0
1009554,Sabretooth,,Sabretooth,295,0
1009372,J. Jonah Jameson,,J. Jonah Jameson,297,1
1009499,Polaris,,Polaris,276,0
1009343,Hercules,,Hercules,288,1
1009277,Domino,,Domino,295,0
1009452,Moon Knight,,Moon Knight,285,1
1009389,Kingpin,,Kingpin,280,1
1010894,Millie the Model,,Millie the Model,215,4
1009609,Spider-Girl (May Parker),,Spider-Girl (May Parker),279,1
1009224,Captain Marvel (Mar-Vell),,Captain Marvel (Mar-Vell),276,1
1010771,Excalibur,,Excalibur,280,0
1009652,Thanos,,Thanos,265,1
1009288,Elektra,,Elektra,262,1
1009381,Jubilee,,Jubilee,254,0
1009365,Inhumans,,Inhumans,250,2
1009480,Odin,,Odin,245,1
1009267,Dazzler,,Dazzler,249,0
1010738,X-Factor,,X-Factor,234,0
1009705,Warpath,,Warpath,249,0
1011023,Defenders,,Defenders,246,1
1009379,Rick Jones,,Rick Jones,237,1
1009477,Nova,,Nova,233,1
1009608,Spider-Woman (Jessica Drew),,Spider-Woman (Jessica Drew),227,1
1009312,Galactus,,Galactus,225,2
1009327,Jean Grey,,Jean Grey,225,0
1016181,Spider-Man (Miles Morales),,Spider-Man (Miles Morales),221,1
1009382,Juggernaut,,Juggernaut,206,0
1010373,Howard The Duck,,Howard The Duck,217,1
1009297,Falcon,,Falcon,208,1
1009638,Sunspot,,Sunspot,215,0
1009325,Norman Osborn,,Norman Osborn,204,1
1009577,Shang-Chi,,Shang-Chi,210,1
1009722,X-23,,X-23,208,0
1010354,Adam Warlock,,Adam Warlock,209,1
